_id,created_at,updated_at,deleted_at,last_updated_at,last_deleted_at,common_order,is_dental
1240,2009-05-31 18:05:15,2013-06-23 17:00:15,,1372006815.273,,5,0
1241,2009-05-31 18:05:16,2011-08-17 22:36:57,,1313620617.604,,,0
1242,2009-05-31 18:05:22,2011-07-25 21:03:44,,1311627823.936,,,0
1243,2009-05-31 18:05:25,2011-07-25 21:03:44,,1311627824.232,,,0
1244,2009-05-31 18:05:26,2013-07-16 21:15:04,,1374009304.594,,,0
1245,2009-05-31 18:05:27,2011-07-25 21:03:44,,1311627824.288,,,0
1246,2009-05-31 18:05:33,2011-07-25 21:03:44,,1311627824.324,,,0
1247,2009-05-31 18:05:38,2013-07-16 21:27:09,,1374010029.13,,12,0
1248,2009-05-31 18:05:38,2011-07-25 21:03:44,,1311627824.372,,,0
1249,2009-05-31 18:05:41,2011-07-25 21:03:44,,1311627824.396,,,0
1250,2009-05-31 18:05:41,2012-07-19 04:58:00,,1342673880.817,,,0
1251,2009-05-31 18:05:43,2013-07-16 21:28:21,,1374010101.918,,,0
1252,2009-05-31 18:05:44,2013-07-16 21:24:58,,1374009898.102,,,0
1253,2009-05-31 18:05:48,2011-07-25 21:03:44,,1311627824.504,,,0
1254,2009-05-31 18:05:51,2013-07-16 21:25:19,,1374009919.253,,,0
1255,2009-05-31 18:05:53,2012-01-18 23:47:01,2012-01-18 23:47:01,1326930421.253,1326930421.51,,0
1256,2009-05-31 18:05:55,2011-07-25 21:03:44,,1311627824.544,,,0
1257,2009-05-31 18:05:59,2011-07-25 21:03:44,,1311627824.56,,,0
1258,2009-05-31 18:05:59,2014-07-01 17:16:58,,1404235018.732,,,0
1259,2009-05-31 18:06:04,2014-07-01 17:06:41,,1404234401.634,,,0
1260,2009-05-31 18:06:11,2013-07-16 21:22:36,,1374009756.841,,,0
1261,2009-05-31 18:06:23,2011-08-17 22:36:15,,1313620575.302,,,0
1262,2009-05-31 18:06:24,2011-07-25 21:03:44,,1311627824.648,,,0
1263,2009-05-31 18:06:39,2011-07-25 21:03:44,,1311627824.668,,,0
1264,2009-05-31 18:06:42,2011-07-25 21:03:44,,1311627824.688,,,0
1265,2009-05-31 18:06:47,2011-07-25 21:03:44,,1311627824.708,,,0
1266,2009-05-31 18:06:48,2011-07-25 21:03:44,,1311627824.728,,,0
1267,2009-05-31 18:07:03,2011-07-25 21:03:44,,1311627824.748,,,0
1268,2009-05-31 18:07:17,2011-07-25 21:03:44,,1311627824.808,,,0
1269,2009-05-31 18:07:25,2013-07-16 21:20:43,,1374009643.665,,,0
1270,2009-05-31 18:07:32,2011-07-25 21:03:44,,1311627824.836,,,0
1271,2009-05-31 18:07:55,2012-01-31 00:27:13,2012-01-31 00:27:13,1327969633.482,1327969634.122,,0
1272,2009-05-31 18:08:49,2013-07-16 21:17:07,,1374009427.82,,,0
1273,2009-05-31 18:08:57,2011-07-25 21:03:45,,1311627825.212,,,0
1274,2009-05-31 18:09:10,2012-01-23 20:44:52,2012-01-23 20:44:52,1327351492.737,1327351493.536,,0
1275,2009-05-31 18:09:18,2011-07-25 21:03:45,,1311627825.26,,,0
1276,2009-05-31 18:09:22,2013-07-16 21:21:05,,1374009665.383,,,0
1277,2009-05-31 18:09:43,2011-09-02 22:30:22,2011-09-02 22:30:22,1315002464.315,,,0
1278,2009-05-31 18:09:46,2011-07-25 21:03:45,,1311627825.32,,,0
1279,2009-05-31 18:09:56,2011-07-25 21:03:45,,1311627825.332,,,0
