_id,name,specialty_type,approved,premier
669,Health Choices FL,medical,1,
671,Health Network 1,medical,1,
673,Integral Quality Care,medical,1,
675,InterGroup Services Corporation,medical,1,
677,MDI Healthcare Solutions,medical,1,
679,"NovaNet, Inc.",medical,1,
681,Stratose (f.k.a. NPPN- National Preferred Provider Network),medical,1,
683,WPS,medical,1,
685,Signature Health Alliance,medical,1,
687,Windsor Health,medical,1,
689,Amerigroup Louisiana,medical,1,
691,BCBS of Louisiana,medical,1,
693,LACare Louisiana,medical,1,
695,Home State Health Plan,medical,1,
697,Missouri Care,medical,1,
699,Health Insurance Risk-Sharing Plan (HIRSP),medical,1,
701,iCare,medical,1,
703,Trilogy Health Insurance,medical,1,
705,WEA Trust,medical,1,
707,Mhealth,medical,1,
